,listing_key,listing_creation_date,loan_origination_date,loan_original_amount,monthly_loan_payment,percent_funded,term,borrower_apr,prosper_rating_alpha,listing_category_numeric,listing_category_alpha
3,0EF5356002482715299901A,2012-10-22 11:02:35.010000000,2012-11-01 00:00:00,10000,321.45,1.0,36,0.12528,A,16,Motorcycle
10,0F123545674891886D9F106,2012-05-10 07:04:01.577000000,2012-05-17 00:00:00,13500,395.37,1.0,60,0.27462,C,1,Debt Consolidation
15,0F483544120452347F48121,2012-04-10 09:14:46.297000000,2012-04-19 00:00:00,4000,173.71,1.0,36,0.35797,HR,13,Household Expenses
30,0F57353904771934596FE9F,2012-01-30 17:59:17.200000000,2012-02-07 00:00:00,10000,322.62,1.0,36,0.12782,A,20,Wedding Loans
31,0F683558129866945165D36,2012-09-21 13:37:43.210000000,2012-09-27 00:00:00,2000,86.85,1.0,36,0.35797,HR,2,Home Improvement
41,10A635483653880905FC2D6,2012-05-30 11:08:43.140000000,2012-06-06 00:00:00,13000,350.6,1.0,60,0.23318,B,7,Other
54,0FBC3556025226720BE6DD4,2012-08-26 09:43:38.643000000,2012-08-31 00:00:00,18000,462.19,1.0,60,0.20931,B,2,Home Improvement
57,0FEA35330893790885F63E8,2011-11-22 14:13:53.397000000,2012-01-20 00:00:00,2000,80.07,1.0,36,0.29394,D,1,Debt Consolidation
71,0DD23561917467486206661,2012-10-23 13:43:45.530000000,2012-11-15 00:00:00,2774,120.47,0.9247,36,0.35797,HR,13,Household Expenses
81,105B35621274435224BDC69,2012-11-15 15:28:17.097000000,2012-12-04 00:00:00,25000,531.18,1.0,60,0.12216,AA,1,Debt Consolidation
83,1066354838733351352FBF8,2012-06-05 14:27:23.647000000,2012-06-08 00:00:00,4000,168.89,1.0,36,0.33553,E,7,Other
87,107D3547498442173689AFA,2012-05-30 08:40:11.343000000,2012-06-01 00:00:00,4000,169.78,1.0,36,0.33973,E,1,Debt Consolidation
89,0FC235484386436481EDCB7,2012-06-01 03:39:02.660000000,2012-06-12 00:00:00,3500,125.97,1.0,36,0.21372,B,6,Auto
93,0FEC354965230800369FB27,2012-06-08 14:51:19.073000000,2012-06-13 00:00:00,7000,205.01,1.0,60,0.27462,C,18,Taxes
94,0FEE354060248231998406E,2012-02-29 11:20:32.767000000,2012-03-05 00:00:00,4000,173.71,1.0,36,0.35797,HR,7,Other
96,1002355507716089687F6D9,2012-08-07 14:29:51.537000000,2012-08-15 00:00:00,15000,407.83,1.0,60,0.23718,B,1,Debt Consolidation
97,1008356191184551964B1C4,2012-10-26 11:59:35.153000000,2012-11-07 00:00:00,2000,73.71,1.0,36,0.23121,C,7,Other
103,0F843543787869030F017F8,2012-04-17 11:58:52.270000000,2012-04-19 00:00:00,15000,579.63,1.0,36,0.26681,D,3,Business
107,10BE354254173728633D033,2012-03-29 12:17:10.017000000,2012-04-23 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
111,10CA35413217064407031F0,2012-03-17 04:34:26.593000000,2012-03-22 00:00:00,4000,158.03,1.0,36,0.2837,D,6,Auto
112,10CA35440888969597C16BF,2012-04-10 18:57:27.113000000,2012-04-17 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
118,0F513544744373659C042AF,2012-04-09 22:51:46.773000000,2012-04-25 00:00:00,6000,206.5,1.0,36,0.17359,B,8,Baby & Adoption
133,10F935536234979271B22A5,2012-08-06 16:58:47.380000000,2012-08-08 00:00:00,5000,115.41,1.0,60,0.15936,A,11,Engagement Ring
138,11273541569159931E84F17,2012-03-16 09:22:33.393000000,2012-03-21 00:00:00,3000,127.34,1.0,36,0.33973,E,6,Auto
139,112A35420359988673C6984,2012-03-22 19:11:18.370000000,2012-03-27 00:00:00,2500,106.12,1.0,36,0.33973,E,2,Home Improvement
144,349D35613352822385FE4AE,2012-10-15 10:01:53.850000000,2012-10-24 00:00:00,3500,139.01,1.0,36,0.2878,D,18,Taxes
151,106B35550650717827CA771,2012-08-23 09:40:29.013000000,2012-08-28 00:00:00,7500,223.36,1.0,60,0.28324,D,2,Home Improvement
155,10823544952906119C8A3E7,2012-04-24 12:50:16.713000000,2012-04-30 00:00:00,15000,383.35,1.0,60,0.20705,B,3,Business
157,108C3556447927451623836,2012-08-21 09:39:37.033000000,2012-09-14 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
163,10473563253333928ACA1DC,2012-11-16 11:34:51.943000000,2012-11-28 00:00:00,12500,392.51,1.0,36,0.09484,AA,1,Debt Consolidation
